公司,年/月,季別,合併(Y/N),月份,幣別,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  避險之金融資產－流動,  合約資產－流動,  應收帳款及票據,  其他應收款,  資金貸予他人－流動,  存貨,  待出售非流動資產,  當期所得稅資產－流動,流動資產,  透過損益按公允價值衡量之金融資產－非流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  按攤銷後成本衡量之金融資產－非流動,  避險之金融資產－非流動,  合約資產－非流動,  採權益法之長期股權投資,  預付投資款,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,  遞延資產合計,    使用權資產,    投資性不動產淨額,  其他非流動資產,非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  避險之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  負債準備－流動,  與待出售非流動資產直接相關之負債,  租賃負債─流動,  一年內到期長期負債,  特別股負債－流動,流動負債,  透過損益按公允價值衡量之金融負債－非流動,  避險之金融負債－非流動,  按攤銷後成本衡量之金融負債－非流動,  合約負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  銀行借款－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,非流動負債,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2357 華碩,2023/12,4,Y,12,NTD,"79,226,605","1,467,580","1,062,825","542,352",0,0,"86,817,309","1,343,625",0,"122,790,339",0,0,"307,176,626","82,080","84,270,256","9,429,433",0,0,"24,884,185",0,"20,082,391","2,686,802","16,905,725","16,905,725","1,790,970","8,265,850","14,564,302","172,905,174","480,081,800","16,239,321",0,"1,053,507","709,249",0,"2,133,239","56,967,248","38,828,482","8,446,021","32,241,217",0,"550,270","33,392",0,"197,552,357",0,0,0,"1,537,470",0,0,"161,582",0,"984,628",0,0,"135,772","19,620,843","23,547,461","221,099,818","7,427,603",0,0,0,0,"7,427,603","12,380,727","45,445,605","693,928","117,271,397","163,410,930","56,596,319",0,"239,815,579",0,0,"19,166,403","258,981,982","480,081,800"
2356 英業達,2023/12,4,Y,12,NTD,"28,133,069","277,508","645,967",0,0,0,"92,206,803","1,746,043",0,"59,896,249",0,0,"192,205,903","242,263","5,297,827",0,0,0,"431,681",0,"29,611,548","582,912","2,450,970","2,450,970","1,792,380","5,052,451","8,884,872","47,502,073","239,707,976","44,374,269",0,"34,918",0,0,"13,654,891","81,307,252","10,278,045","2,190,276","3,159,611",0,"230,136","2,890,506",0,"169,302,667",0,0,0,0,0,0,"2,992,412",0,"544,452",0,0,"446,508","5,801,824","10,146,927","179,449,594","35,874,751",0,0,0,0,"35,874,751","2,911,115","13,370,424","1,447,789","8,163,952","22,982,165","-648,488",0,"61,119,543",0,0,"-861,161","60,258,382","239,707,976"
