CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Total cash and cash equivalents,Total current financial assets at fair value through profit or loss,Financial assets at fair value through other comprehensive income - Current,Financial assets measured at amortized cost - Current,Current financial assets for hedging,Current contract assets,Accounts & notes receivable,Other receivable,Loan to others - Short-Term,Total inventories,"Current biological assets, net",Total prepayments,Agency current-debit (for sea/land shipping business),"Non-current assets classified as held for sale, net",Total current tax assets,Other current financial assets,Other current assets,Total current assets,Total non-current financial assets at fair value through profit or loss,Financial assets at fair value through other comprehensive income - Non-Current,Financial assets measured at amortized cost - Non-Current,Non-current financial assets for hedging,Non-current contract assets,"Investments accounted for using equity method, net",Non-current prepayments for investments,"Total property, plant and equipment",Goodwill,"Franchise, net","Intangible assets under development, net",Other intangible assets,Goodwill and intangible assets,Deferred tax assets,Other deferred assets,Deferred assets,"Deferred debits, losses on inter-affiliate accounts",Right of use assets,"Investment property, net",Prepayments for business facilities,Long-term prepaid rents,Total non-current biological assets,Total other non-current assets - Others,Total other non-current assets,Total non-current assets,Total assets,Total short-term borrowings,Total short-term notes and bills payable,Total current financial liabilities at fair value through profit or loss,Current financial liabilities for hedging,Financial liabilities measured at amortized cost - Current,Current contract liabilities,Accounts and notes payable,Other payable,Current tax liabilities,Total current provisions,Liabilities included in disposal groups classified as held for sale,Other current financial liabilities,Current Lease Liabilities,"Total long-term liabilities, current portion",Current preference share liabilities,Agency current-credit (for sea/land and shipping business),Other current liability,Total current liabilities,Total non-current financial liabilities at fair value through profit or loss,Non-current financial liabilities for hedging,Financial liabilities measured at amortized cost - Non-Current,Non-current contract liabilities,Non-current preference share liabilities,Total bonds payable,Long-term bank loans,Other long-term payable,Non-current Lease Liabilities,Total non-current provisions,"Deferred credits, gains on inter-affiliate accounts",Accrued pension liabilities,Total deferred tax liabilities,Other non-current Liability,Total non-current liabilities,Total liabilities,Ordinary share,Preference share,Advance receipts for share capital,Stock dividend to be distributed,Certificate of entitlement to new shares,Capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated retained earnings (accumulated deficit),Total retained earnings,Total exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to non-current assets classified as held for sale,Other equity - unearned compensation,"Other equity, others",Total other equity interest,Treasury shares,Total equity attributable to owners of parent,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Non-controlling interests,Total equity,Total liabilities & equity,Earnings before interest and tax,Total operating revenue
2356 Inventec,2023/12,4,Y,12,NTD,28133069.00 ,277508.00 ,645967.00 ,0.00 ,0.00 ,0.00 ,92206803.00 ,1746043.00 ,0.00 ,59896249.00 ,0.00 ,174769.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9125495.00 ,192205903.00 ,242263.00 ,5297827.00 ,0.00 ,0.00 ,0.00 ,431681.00 ,0.00 ,29611548.00 ,409535.00 ,0.00 ,0.00 ,173377.00 ,582912.00 ,2450970.00 ,0.00 ,2450970.00 ,0.00 ,1792380.00 ,5052451.00 ,0.00 ,0.00 ,0.00 ,2040041.00 ,8884872.00 ,47502073.00 ,239707976.00 ,44374269.00 ,0.00 ,34918.00 ,0.00 ,0.00 ,13654891.00 ,81307252.00 ,10278045.00 ,2190276.00 ,3159611.00 ,0.00 ,0.00 ,230136.00 ,2890506.00 ,0.00 ,0.00 ,11182763.00 ,169302667.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2992412.00 ,0.00 ,544452.00 ,0.00 ,0.00 ,446508.00 ,5801824.00 ,361731.00 ,10146927.00 ,179449594.00 ,35874751.00 ,0.00 ,0.00 ,0.00 ,0.00 ,35874751.00 ,2911115.00 ,13370424.00 ,1447789.00 ,8163952.00 ,22982165.00 ,(975494.00),327006.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(648488.00),0.00 ,61119543.00 ,0.00 ,0.00 ,(861161.00),60258382.00 ,239707976.00 ,11823059.00 ,514746200.00 
2357 Asustek,2023/12,4,Y,12,NTD,79226605.00 ,1467580.00 ,1062825.00 ,542352.00 ,0.00 ,0.00 ,86817309.00 ,1343625.00 ,0.00 ,122790339.00 ,0.00 ,13686458.00 ,0.00 ,0.00 ,0.00 ,0.00 ,239533.00 ,307176626.00 ,82080.00 ,84270256.00 ,9429433.00 ,0.00 ,0.00 ,24884185.00 ,0.00 ,20082391.00 ,1345724.00 ,0.00 ,0.00 ,1341078.00 ,2686802.00 ,16905725.00 ,0.00 ,16905725.00 ,0.00 ,1790970.00 ,8265850.00 ,0.00 ,0.00 ,0.00 ,4507482.00 ,14564302.00 ,172905174.00 ,480081800.00 ,16239321.00 ,0.00 ,1053507.00 ,709249.00 ,0.00 ,2133239.00 ,56967248.00 ,38828482.00 ,8446021.00 ,32241217.00 ,0.00 ,0.00 ,550270.00 ,33392.00 ,0.00 ,0.00 ,40350411.00 ,197552357.00 ,0.00 ,0.00 ,0.00 ,1537470.00 ,0.00 ,0.00 ,161582.00 ,0.00 ,984628.00 ,0.00 ,0.00 ,135772.00 ,19620843.00 ,1107166.00 ,23547461.00 ,221099818.00 ,7427603.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7427603.00 ,12380727.00 ,45445605.00 ,693928.00 ,117271397.00 ,163410930.00 ,(121556.00),57492527.00 ,0.00 ,(65403.00),(709249.00),0.00 ,0.00 ,0.00 ,0.00 ,56596319.00 ,0.00 ,239815579.00 ,0.00 ,0.00 ,19166403.00 ,258981982.00 ,480081800.00 ,22786629.00 ,482314429.00 
